id,es,en,pt,fr
1_6_59,"Vlad Tepes... Drácula, también fue un [alquimista de hierro].","Vlad Tepes... Dracula, he was also an [iron alchemist].",Vlad Tepes... Drácula... também foi um [Alquimista de Ferro].,Vlad Tepes...Dracula...était aussi un [Alchimiste du Fer].
1_7_1,Varios días después...,Several days later...,Vários dias depois...,Plusieurs jours plus tard...
1_7_2,¡Nooo! ¡No puede ser!,Nooo! It can't be!,Não! Não pode ser!,Nooon! Ce n'est pas possible!
1_7_3,¿Pero qué pasa?,What's wrong?,O que houve?,Qu'y a-t-il?
1_7_4,¡Lo- los demonios! ¡Los estoy viendo! ¡Vienen hacia nosotros!,The- the demons! I'm seeing them! They're coming towards us!,Os... demônios! Estou vendo eles! Estão vindo em nossa direção!,Les-Les démons! Je les vois! Ils viennent vers nous!
1_7_5,¡Se lo dije! ¡No era una buena idea ir al castillo de Drácula!,I told you! It wasn't a good idea to go to Dracula's castle!,Eu te disse! Não era uma boa ideia ir até o castelo de Drácula!,Je vous l'ai dit! Ce n'était pas une bonne idée d'aller au château de Dracula!
1_7_6,¿Pero de qué te quejas? ¡Te pagado una gran cantidad de dinero por llevarme al castillo!,But what are you complaining about? I paid you a great deal of money to take me to the castle!,Mas do que está reclamando? Paguei muito dinheiro para que você me levasse até o castelo!,De quoi vous plaignez vous?Je vous ai amplemement payé pour m'emmener au château!
1_7_7,"No te atrevas a detenerte, deja que yo me encargue de esto.","Don't you dare stop, let me handle this.","Não se atreva a parar, deixe que eu cuidarei disso.","N'essayez pas de vous arreter, je m'en charge!"
1_7_8,¿¡Ehhh!? ¿Pero qué es lo que piensa hacer? ¡Señorita!,Ehhh! But what are you planning to do? Miss!,O quê!? Mas o que está pensando em fazer? Senhorita!,Hein? Qu'allez vous faire? Mademoiselle!
1_7_9,"Ya está, ¿lo ves? No has recibido ningún rasguño. Así que deja de quejarte.","Done, you see? You didn't get a scratch. So stop complaining.","Pronto, está vendo? Não teve nenhum arranhão. Então pare de reclamar.","Voilà, vous voyez? Je n'ai même pas une égratignure. Arretez de vous plaindre."
1_7_10,I- Increíble... ser capaz de derrotar a esos demonios en pleno movimiento...,U- Unbelievable... to be able to defeat those demons in full motion...,"Incrível... ser capaz de derrotar tantos demônios, conosco em movimento...","In-Incroyable, éliminer ces démons en mouvement..."
1_7_11,...,...,...,...
1_7_12,Pero qué... que terrible olor...,But what... what a terrible smell...,Mas... que cheiro terrível...,Mais que...quelle horrible odeur...
1_7_13,"Es el olor de la muerte señorita, eso quiere decir que ya estamos cerca del castillo...","It's the smell of death miss, that means we are already close to the castle...","É o cheiro da própria morte, o que significa que estamos perto do castelo...","C'est l'odeur de la mort mademoiselle, cela veut dire que nous sommes proches du château..."
1_7_14,"Señorita, rezaré por su bienestar. Por favor, líbrenos de esta pesadilla.","Miss, I will pray for your well-being. Please deliver us from this nightmare.","Senhorita, rezarei pelo seu bem estar. Por favor, liberte a todos desse pesadelo.","Mademoiselle, je prierait pour vous. Délivrez nous de ce cauchemar je vous en prie."
2_5_1,... ¿Esa cosa siquiera es un humano?,... Is that thing... a human?,... Essa coisa... é humana?,...Cette chose...un humain?
2_5_2,"Bueno, no importa, está en mi camino, así que debo eliminarlo.","Well, never mind, it's in my way, so I must eliminate it.","Bom, não importa, se está em meu caminho então devo eliminar.","Bon, peut importe, c'est sur mon chemin, je dois donc l'éliminer."
2_5_3,No lleva mucho tiempo muerto...,It hasn't been dead long...,Não está morto há muito tempo...,Il n'est pas mort depuis longtemps...
2_5_4,Qué extraño... ¿Alguien fue capaz de llegar hasta aquí?,How strange... Someone was able to get here?,Que estranho... Alguém foi capaz de chegar até aqui?,Etrange...quelqu'un à été capable de venir si loin?
2_5_5,"No pudo haber sido el maldito de Van Helsing, lleva meses desaparecido...","It couldn't have been that damned Van Helsing, he's been missing for months...","Não pode ter sido aquele maldito Van Helsing, pois está desaparecido há meses...","Cela ne peut être ce satané Van Helsing, Cela fait des mois qu'il a disparu..."
2_5_6,Veo que hay rastros de hierro transmutado...,I see there are traces of transmuted iron...,Vejo que há traços de ferro transmutado...,Je vois ici des traces de fer transmuté...
2_5_7,Definitivamente no fue Van Helsing... ¿¡ha venido otro alquimista de hierro!?,It definitely wasn't Van Helsing.... Another iron alchemist has come!?,Definitivamente não foi Van Helsing... Algum outro alquimista de ferro veio aqui!?,Ce n'est définitivement pas Van Helsing... Un autre Alchimiste du Fer serait venu?!
2_5_8,¡Debo darme prisa!,I must hurry!,Devo me apressar!,Je dois me dépécher!
3_5_1,"Nada mal, alquimista de hierro... es impresionante que sigas con vida.","Not bad, iron alchemist... it's impressive that you're still alive.","Nada mal, alquimista de ferro... é impressionante que ainda esteja viva.","Pas mal, alchimiste du fer... c'est impressionnant de te voir toujours en vie."
3_5_2,Pero tú... ¿quién rayos eres?,But you... who the heck are you?,Mas... quem é você?,Mais toi... Qui diable es-tu donc?
3_5_3,"Pero qué maleducada eres señorita, ¿no piensas presentarte tú primero?","But how rude of you miss, aren't you planning to introduce yourself first?","Você é bastante rude, senhorita, não pretende se apresentar primeiro?","Quelle impolitesse mademoiselle, vous ne pensez pas a vous présenter d'abord?"
3_5_4,¡Responde a mi pregunta!,Answer my question!,Responda minha pergunta!,Réponds à ma question!
3_5_5,"Como sea, no es como si me importara saber el nombre de alguien cuya vida no tardará en extinguirse.","Anyway, it's not like I care to know the name of someone whose loose her life soon.","Como quiser, não que eu me importe em saber o nome de alguém que morrerá em breve.","Allons bon, ce n'est pas comme s'il m'était utilse de connaire le nom d'une personne qui va mourir."
3_5_6,Mi nombre es Damian Deconier. [Alquimista de plata] y antiguo general de las fuerzas armadas de Drácula.,My name is Damian Deconier. [Silver Alchemist] and former general of Dracula's armed forces.,Meu nome é Damian Deconier. [Alquimista de Prata] e antigo general das forças armadas de Drácula.,Mon noom est Damian Deconier.[Alchimiste d'Argent] et ancien général des forces de Dracula.
3_5_7,¿¡Con que estás relacionado con Drácula!?,So you're related to Dracula?,Então você está relacionado com Drácula?,Alors tu es lié à Dracula?
3_5_8,¡Te eliminaré ahora mismo!,I'll eliminate you right now!,Irei te eliminar agora mesmo!,Je vais t'éliminer immédiatement!
3_5_9,"¡Ja, ja, ja! ¿En serio quien te crees que eres para desafiarme?",Ha ha ha ha! Who do you really think you are to challenge me?,Ha ha ha ha! É sério que você pensa em me desafiar?,Ha ha ha ha! Qui crois-tu être pour oser me défier?
3_5_10,Por lo que veo solo pareces una niña malhumorada que confía en su fuerza bruta.,From what I see you just look like a moody little girl who relies on her brute strength.,"Pelo que vejo, você não passa de uma garotinha mal humorada que confia demais em força bruta.","De ce que j'en vois,Tu n'est qu'une gamine acariâtre qui ne compte que sur sa force brute."
3_5_11,Muéstrame si logras ser capaz de seguir con vida y luego decidiré si eres alguien que valga la pena.,Show me if you manage to be able to stay alive and then I'll decide if you're someone worthwhile.,Prove que consegue se manter viva e talvez eu decida se vale a pena lutar contra você.,Montres moi que tu arrives à rester en vie et ensuite je déciderais si tu es digne d'interêt.
3_5_12,"Nos vemos, alquimista.","See you around, alchemist.","Vejo você por aí, alquimista.","A plus tard, alchimiste."
3_5_13,...,...,...,...
4_4_1,Otra vez tú...,You again...,Você de novo...,Encore toi...
4_4_2,No dejaré que huyas de nuevo.,I won't let you run away again.,Não deixarei que fuja outra vez.,Je ne te laisserais plus t'enfuir.
4_4_3,"¿Yo, huir? Estás completamente equivocada.","Me, run away? You're completely wrong.",Eu? Fugir? Está completamente enganada.,"M'enfuir,moi? Tu te trompes complétement."
4_4_4,"Si valoras tu vida, deberías dar marcha atrás y regresar de donde sea que hayas venido, extranjera.","If you value your life, you should turn back and go back to wherever you came from, foreigner.","Se dá valor à sua vida, você deveria dar meia volta e retornar para o lugar de onde veio, forasteira.","Si tu accordes de la valeur à ta vie, tu devrais faire demi-tour et rentrer chez toi, étrangère."
4_4_5,Basta de charla. Haré que te tragues tus palabras.,Enough talk. I'll make you swallow your words.,Basta! Farei você engolir essas palavras.,Assez de palabres! Je vais te faire ravaler tes mots!
4_4_6,"Sí eso es lo que quieres... Ven, muéstrame si eres más que solo habladurías.","If that's what you want? Come, show me if you're more than just empty words.","Se é isso o que deseja... Venha, e mostre o que é capaz de fazer.","Si c'est ce que tu veux... Viens, montre moi si tes actes suivent tes paroles."
4_4_7_2,Nada mal alquimista de hierro. Es suficiente.,Not bad iron alchemist. That's enough.,"Nada mal, alquimista de ferro. Isso é o bastante?","Pas mal, achimiste de fer. C'est suffisant."
4_4_8,Me has demostrado que puedes ser capaz de hacerle frente a Drácula.,You've shown me that you can stand up to Dracula.,Você demonstrou que pode enfrentar Drácula.,Tu m'as prouvé que tu peux tenir tête face à Dracula.
4_4_9,"Con tu ayuda, lograremos detenerlo y acabar con esta pesadilla.","With your help, we'll manage to stop him and end this nightmare.","Com a sua ajuda, poderemos deter ele e acabar com esse pesadelo.","Avec ton aide, nous pouvons l'arreter et mettre fin à ce cauchemar."
4_4_10,¿...? ¿Con... mi ayuda? ¿De qué rayos estás hablando?,...? With... My help? What the f... what are you talking about?,Hã? Com... minha ajuda? Mas... do que você está falando?,Quoi? Avec... Mon aide? Nom de... de quoi parles-tu?
4_4_11,He venido a derrotar a Drácula.,I've come to defeat Dracula.,Eu vim até aqui para derrotar Drácula.,Je suis venu pour vaincre Dracula.
4_4_12,Pero qué... ¿¡No se supone que eras un general de Drácula!?,But what... Weren't you supposed to be one of Dracula's generals!?,Como assim? Você não era um dos generais de Drácula!?,Comment? N'étais tu pas l'un des généraux de Dracula!?
4_4_13,"Así es, fui uno de sus generales, pero eso quedó en el pasado.","That's right, I was one of his generals, but that's in the past.","Verdade, eu fui um dos generais, mas isso é passado.","C'est exact, j'étais l'un de ses généraux, mais c'est du passé."
4_4_14,"De alguna manera, Drácula ha resucitado y busca venganza contra La Orden.","Somehow, Dracula has been resurrected and seeks revenge against The Order.","De alguma maneira, Drácula foi ressuscitado e busca vingança contra a Ordem.","Je ne sais comment, Dracula a réssucité et cherche à se venger de l'Ordre."
4_4_15,Y es mi deber acabar con la locura que está cometiendo.,And it's my duty to put an end to the madness he is committing.,E é o meu dever acabar com essa loucura que ele está cometendo.,Et c'est mon devoir de mettre fin à toutes ses folies.
4_4_16,"Debo hacerlo, por el honor de la persona que una vez admiré...","I must do so, for the honor of the person I once admired...","Devo fazer isso, pela honra da pessoa que um dia eu admirei...","Je dois le faire, pour honorer la personne que j'ai admiré...."
4_4_17_1,Maldito...,Son of a...,Seu maldito...,Maudit sois-tu...
4_4_17_2,"Si no éramos precisamente enemigos, solo te has burlado de mí.","If we weren't exactly enemies, you just mocked me.","Se não éramos inimigos, então por que tem me provocado?","Si nous n'étions pas vraiment ennemis, alors tu t'es joué de moi?"
4_4_18,"Ciertamente, me disculpo, no debí subestimarte. Pero, solo te estaba poniendo a prueba.","Certainly, I apologize, I shouldn't have underestimated you. But, I was just testing you.","Você está certa. Peço desculpas, pois não devia ter subestimado você. Mas isso era um teste.","C'est exact, je m'en excuse. Je n'aurais pas du te sous-estimer. Mais je devais te tester."
4_4_19,Este es mi tercer intento de adentrarme en el castillo.,This is my third attempt to enter the castle.,Esta é minha terceira tentativa de invadir o castelo.,C'est ma troisième tentative d'entrer dans ce château.
4_4_20,Anteriormente me he encontrado con varios alquimistas y los he visto morir.,I have previously encountered several alchemists and watched them die.,"Anteriormente, encontrei vários alquimistas e vi todos eles morrerem.",J'ai déjà rencontré plusieurs alchimistes et les ai observé mourir.
4_4_21,"Asumí que solo eras otra persona que sobrevaloraba su poder, pero me has demostrado lo contrario.",I assumed you were just another person who overestimated his power...,Presumi que você fosse apenas outra pessoa que superestimava seu poder...,J'ai assumé que tu n'était qu'une autre personne se surestimant...
4_4_22,"Por lo que con tu ayuda, podremos acabar con todo esto...","But you have proven me otherwise. So with your help, we can put an end to all this.","Mas demonstrou o contrário. Então, com sua ajuda, podemos colocar um fim em tudo isso.","Mais tu m'a donné tort. Alors avec ton aide, nous pouvons en finir avec tout ceci."
4_4_23,Y hacer que la paz regrese de nuevo a Transilvania.,And bring peace back to Transylvania again.,E trazer a paz de volta para a Transilvânia.,"Et ramener enfin la paix en Transylvanie, une fois de plus."
4_4_24,"¿Me estás pidiendo que colabore contigo? Olvídalo, yo seré quien derrote a Drácula.","Are you asking me to collaborate with you? Forget it, I'll be the one to defeat Dracula.","Está me pedindo para colaborar com você? Esqueça, serei eu quem derrotará Drácula.","Tu me demandes de collaborer avec toi? Oublies ça, c'est moi qui vaincrai Dracula."
4_4_25,¡Y nadie me lo impedirá!,And no one will stop me!,E nada nem ninguém irá me impedir!,Et personne ne m'arrêteras!
4_4_26,Esa determinación en tu mirada... es extraño. Nunca te he visto en Transilvania...,That determination in your eyes... it's strange. I've never seen you in Transylvania...,Essa determinação em seus olhos... estranho. Nunca vi você na Transilvânia.,Cette détermination dans tes yeux... étrange. Je ne t'ai jamais vue en Transylvanie...
4_4_27,¿Por que vienes a luchar en tierras extranjeras?,Why do you come to fight in foreign lands?,Por que veio lutar em um lugar tão longínquo?,Pourquoi venir combattre dans un pays aussi lointain?
4_4_28,La verdad es que no me interesa nada de lo que aquí haya sucedido.,The truth is that I am not interested in anything that has happened here.,A verdade é que não estou interessada em nada do que acontece por aqui.,"A vrai didre, je ne m'interesses pas à ce qui c'est passé ici."
4_4_29,Ni de lo que les vaya a suceder.,Nor of what will happen to them.,E nem sobre o que acontecerá depois.,Ni à ce qui va leur arriver.
4_4_30,Se me ha encomendado la misión de acabar con el responsable de asesinar a tantos alquimistas.,I have been entrusted with the mission of defeat the one responsible for murdering so many alchemists.,Me foi confiada a missão de derrotar o responsável por assassinar muitos alquimistas.,On m'a confié la mission de vaincre le responsable du meurtre de tant d'alchimistes.
4_4_31,"Y una vez que lo logre, recibiré el [mérito] que necesito en La Orden.","And once I succeed, I will receive the [merit] I need in The Order.","E quando eu cumprir isso, receberei o [mérito] que preciso na Ordem.","Et une fois que j'aurais réussi, je recevrais le [prestige] nécessaire dans l'Ordre."
4_4_32,Espera... ¿Mérito? ¿Acaso eres una novata?,Wait... Merit? Are you... a rookie?,Espere... Mérito? Você é uma novata?,Attends... Prestige? Tu es une...novice?
4_4_33,Estás en lo que... ¿como lo llaman? ¿una misión suicida?,You're on what... what do you call it? ... a suicide mission?,Você está em uma... como chamam...? Uma missão suicída?,Es-tu sur....comment appellez vous cela?...une mission suicide?
4_4_34,Así es.,That's right.,Exatamente.,C'est exact.
4_4_35,"Vaya, así que solo buscas fama y dinero, que motivaciones tan poco honorables...","Wow, so you're just want fame and money, what less than honorable motivations...","Uau, então voc~e apenas deseja fama e fortuna. Mas que motivação menos honrosa...","Wow, tu ne cherches qu'argent et réputation, quelles motivations déshonorantes..."
4_4_36,Eso lo explica todo. Al menos nuestros intereses no entran en conflicto.,That explains it all. At least our interests don't conflict.,Isso explica tudo. Pelo menos nossos interesses não entram em conflito.,Cela explique tout. Au moins nos interets ne sont pas conflictuels.
4_4_37,Así que te propongo que colaboremos.,So I propose that we collaborate.,"Assim, proponho que colaboremos.",Alors je te propose de collaborer.
4_4_38,"Yo quiero que el monstruo que alguna vez fue [Vlad Tepes], abandone este mundo.","I want the monster that once was [Vlad Tepes], to leave this world.",Eu quero o monstro que um dia foi [Vlad Tepes] deixe este mundo.,Je veux que le monstre qui était autrefois [Vlad Tepes] disparaisse de ce monde.
4_4_39,Y tú quieres el mérito por acabar con él.,And you want the credit for putting him down.,E você quer o crédito de ter acabado com ele.,Et toi tu veux le mérite de l'avoir vaincu.
4_4_40,"Así que no importa quién de nosotros lo derrote, tú te llevarás el crédito.","So no matter which of us defeats him, you will take the credit.","Então, não importa qual de nós o derrote, você ainda levará todo o crédito.","Donc peut importe qui de nous deux le tue, tu en prendras le mérite."
4_4_41,Y yo cumpliré con mi última misión en estas tierras. ¿Qué dices?,And I will fulfill my last mission in these lands. What do you say?,E eu cumprirei minha última missão nestas terras. O que me diz?,Et moi j'accomplirai ma dernière mission en ces terres. Qu'en dis-tu?
4_4_42,...,...,...,...
4_4_43,"Si no te entrometes en mi camino... haz lo que quieras, no me importa.","If you don't get in my way... do what you want, I don't care.","Desde que não fique no meu caminho... faça o que quiser, não me importo.","Si tu ne te mets pas sur mon chemin... fais ce que tu veux, je m'en fiche."
4_4_44,Acabaré con todo y me largaré de este lugar.,I'll get it over with and get the hell out of this place.,Terminarei o que vim fazer aqui e sairei deste lugar.,J'en finirai et partirai loin de cet endroit 
4_4_45,"Muy bien, ahora que seremos aliados creo que será conveniente que me digas tu nombre al menos.",Now that we're going to be allies I think it will be convenient if you tell me your name at least.,"Bom, agora que somos aliados creio ser conveniente que me revele pelo menos o seu nome.","Bien, maintenant que nous sommes alliés, je crois qu'il serait pratique que je connaisse ton nom."
4_4_46,Xandria.,Xandria.,Xandria.,Xandria
4_4_47_1,... ... ... ...,... ... ... ...,... ... ... ...,... ... ... ...
4_4_47_2,(¿Solo eso piensa decir?),(Is that all she intend to say?),(É só isso o que pretende dizer?),(C'est tout ce qu'elle compte dire?)
4_4_47_3,"Así que, señorita Xandria... Será un placer combatir a tu lado.","So, Miss Xandria.... It will be a pleasure to fight by your side.","Bom, senhorita Xandria... Será um prazer lutar ao seu lado.","Bien, mademoiselle Xandria...Cela sera un plaisir de combattre à vos cotés."
4_4_48,Iré adelante y despejaré el camino para poder seguir avanzando.,I'll go ahead and clear the way so I can keep moving forward.,Irei na frente e limparei o caminho para que possa avançar.,Je vais aller en premier et dégager le chemin afin d'avancer.
4_4_49_1,"No te he pedido ayuda, solo no me estorbes.","I didn't ask for your help, just don't get in my way.","Eu não pedi a sua ajuda, apenas não fique no meu caminho.","Je ne t'ai pas demandé ton aide, reste juste hors de ma route."
4_4_49_2,"(No vale la pena seguir hablando con este tipo, solo me queda seguir avanzando).","(It's no use talking to this guy anymore, it's only left for me to keep moving forward).","(Não adianta falar com esse sujeito, só me resta seguir adiante).","(C'est inutile de continuer de lui parler, je dois aller de l'avant)."
5_4_0_1,"(Es el retrato de una niña, de quizás cinco o seis años...)","(It's a portrait of a little girl, maybe five or six years old...)","(O retrato de uma garotinha, com cerca de cinco ou seis anos de idade...)","(C'est un portrait d'une petite fille, cinq ou six ans peut-être...)"
5_4_0_2,(Debajo del retrato hay una inscripción...),(Underneath the portrait there is an inscription...),(Abaixo do retrato tem uma inscrição...),(Il y a une inscription sous le portrait...)
5_4_1,"[En esta vida te encontrarás con tinieblas mi adorada niña, pero también hay luces...]","[In this life you will encounter darkness my dearest child, but there are also lights...]","[Nessa vida encontrará escuridão, minha criança amada, mas também existe luz...]","[Dans cette vie tu croisera les ténèbres ma chère enfant, mais il y aura aussi de la lumière...]"
5_4_2,[Y tú eres la luz de todas las luces.],[And you are the light of all lights.],[E você é a mais luminosa de todas as luzes.],[Et tu est la lumière de toutes les lumières.]
5_4_3,(El resto del texto es ilegible.),(The rest of the text is illegible.),(O restante do texto está ilegível.),(Le reste du texte est illisible.)
5_5_0,¿Quién osa irrumpir en mi castillo?,Who has dared to break into my castle...,Quem ousa invadir o meu castelo...?,Qui donc ose s'introduire dans mon château...?
5_5_1,¿Así que tú eres Drácula?,So you are Dracula?,"Então, você é Drácula?",Alors c'est toi Dracula?
5_5_2,Yo soy aquel que los hombres quieren matar.,I am he whom that breathing men want to kill.,Eu sou aquele que os humanos desejam matar.,Je suis celui dont les hommes qui respirent veulent la mort.
5_5_3,"En nombre de La Orden, he venido a regresarte al infierno del que has salido.","In the name of The Order, I have come to return you to the hell you came from.","Em nome da Ordem, eu vim aqui para fazer com que volte ao inferno de onde saiu.","Au nom de l'Ordre, je suis venue vous renvoyer dans l'enfer d'où vous venez."
5_5_4,Tu reino de sangre acabará hoy.,Your reign of blood will end today.,Seu reinado sangrento termina hoje.,Votre règne sanglant se termine aujourd'hui.
5_5_5,"Alquimista... no tendrás oportunidad contra mí, que he liderado naciones...","Alchemist... you will not stand a chance against me, who have led nations...","Alquimista... não terá chance alguma contra mim, que liderei nações...","Alchimiste... Tu n'as aucune chance contre moi, qui ait dirigé des nations..."
5_5_6,"Y entregué mi vida humana peleando por La Orden, antes de que nacieras.","And I gave my human life fighting for The Order, before you were born.","E que entreguei minha vida humana lutando pela Ordem, antes que você tivesse nascido.","Et j'ai offert ma vie d'humain en combattant l'Ordre, bien avant ta naissance."
5_5_7,Tu insolencia recibirá un castigo.,Your insolence will receive punishment.,"Por sua insolência, receberá o castigo merecido.",Ton insolence va être punie.
5_5_8,"(Puedo sentirlo, a pesar de que ya no es un humano, conserva sus poderes como alquimista de hierro.)","(I can feel it, even though he is no longer a human, he retains his powers as an iron alchemist.)","(Posso sentir, mesmo que ele não seja mais humano, que ainda mantem seus poderes como alquimista de ferro.)","(Je peux le sentir, même s'il n'est plus humain, il conserve ses pouvoirs d'alchimiste du fer.)"
5_5_9,(Definitivamente mis ataques a larga distancia no funcionarán...),(My long distance attacks will definitely not work...).,(Meus ataques de longa distância não funcionarão contra ele...),(Mes attaques à longue portée ne marcheront pas...)
5_7_0,"Llegas tarde, ya me he encargado de Drácula.","You're too late, I've already defeated Dracula.","Você chegou tarde, eu já derrotei Drácula.","Tu arrives trop tard, j'ai déjà vaincu Dracula."
5_7_1,No... no puede ser... él no es Drácula...,No... it can't be... he's not Dracula...,Não... não pode ser... ele não é Drácula...,Non...impossible... Ce n'est pas Dracula...
5_7_2,¿¡De qué rayos hablas!?,What on earth are you talking about?!,Mas do que você está falando!?,Mais de quoi parles-tu donc!?
5_7_3,"Bueno, sí, parece Drácula; pero su poder es apenas la mitad de lo que solía hacer...","Well, yes, he looks like Dracula; but his power is barely half of what he used to do...",Ele se parece com Drácula... mas seu poder é apenas metade do que possuia...,"Oui, il ressemble bien à Dracula, mais il ne possède que la moitié de son ancienne puissance."
5_7_4,Es como si fuera un fantasma...,It's like he's a ghost...,É como se ele fosse apenas uma sombra...,C'est comme s'il était un fantôme...
5_7_5,"Ah, parece que tenemos visitas inesperadas...","Ah, we seem to have the uninvited visitors...","Ah, parece-me que temos alguns visitantes inesperados...","Ah, il semblerait que nous ayons des visiteurs impromptus..."
5_7_6,¿Y ahora qué? ¿Quién eres tú?,What now? Who are you?,O quê? Quem é você?,Quoi encore? Qui êtes vous?
5_7_7,¡Nosferatu! ¡Maldito!,Nosferatu! Damn you!,Nosferatu! Seu maldito!,Nosferatu! Sois maudit!
5_7_8,¿¡Me explicarías qué rayos está pasando aquí!?,Would you explain to me what the hell is going on here!?,Poderia me explicar o que está acontecendo aqui!?,Peux-tu m'expliquer c'est qu'il se passe ici!?
5_7_9,"Xandria, lo que acabas de ver, fue un [Toziuha]...","Xandria, what you just saw, was a [Toziuha]...","Xandria, o que você acabou de ver... foi um [Toziuha]...","Xandria, ce que tu viens de voir, c'était un [Toziuha]..."
5_7_10,Fue el monstruo con quien Vlad Tepes hizo un pacto a cambio de su poder demoníaco...,It was the monster with whom Vlad Tepes made a pact in exchange for his demonic power...,Esse foi o monstro com quem Vlad Tepes fez um pacto em troca de poder demoníaco...,C'est le monstre avec qui Vlad Tepes à fait un pacte en échange de sa puissance démoniaque.
5_7_11,"Pero no tiene sentido, los Toziuha por sí solos no pueden interactuar con nosotros...","But it makes no sense, the Toziuha alone cannot interact with us...",Mas isso não faz sentido... os Toziuha sozinhos não podem interagir conosco...,"Cela n'a pas de sens, un Toziuha seul ne peut pas interagir avec nous..."
5_7_12,Ellos son solo meros espectadores en busca de humanos con quienes hacer pactos...,They are just mere bystanders looking for humans to make pacts with...,Eles não passam de meros espectadores em busca de humanos que desejem fazer pactos...,Ce ne sont que des spectateurs qui cherchent des humains avec qui pactiser...
5_7_13,¿Así que hay alguien más detrás de todo esto?,So there's someone else behind all this?,"Então, tem mais alguém por trás disso tudo?",Alors il y aurait quelqu'un derrière tout ça?
5_7_14,Eso parece... No... ¡Es imposible! ¡Debo darme prisa!,It would seem so... No... It's impossible! I must hurry!,Parece que sim... Não... Impossível! Devo me apressar!,Cela se pourrait... Non... Impossible! Je dois me dépécher!
5_7_15,¿Eh? ¿Qué ocurre? ¡Oye! ¿¡A dónde rayos vas!?,Huh? What's wrong? Hey! Where the hell are you going?!?,Heim? O que foi? Ei! Aonde pensa que está indo!?,Hein? Qu'y a-t-il? Hé! Où vas-tu comme ça!?
5_7_17,Maldita sea... ¿mí misión no ha terminado?,Damn it... My mission isn't over?,Droga... Minha missão ainda não terminou?,Malédiction... Ma mission n'est pas terminée? 
5_8_0,(Parece ser una carta...),(It seems to be a letter...),(Isso parece ser uma carta...),(On dirait une lettre...)
5_8_1,"[... Geber, mi querido viejo amigo, espero que estés bien de salud...]","[... Geber, my dear old friend, I hope you are in good health...]","[... Geber, meu velho e querido amigo, espero que você esteja bem...]","[... Geber, mon viel ami, j'espère que tu es en bonne santé...]"
5_8_2,"[... Tú, de entre todos los alquimistas eres el que más ha investigado sobre los demonios...]","[... You, of all the alchemists, are the one who has done the most research on demons...]","[... Você, dentre todos os alquimistas, foi quem mais investigou a respeito dos demônios...]","[... Toi, parmi tous les alchimistes, es celui qui à mené le plus de recherches sur les démons]"
5_8_3,[... Hay una duda que no me deja dormir en las noches...],[... There is a doubt that does not let me sleep at night...],[... Existe uma dúvida que tem me tirado o sono durante a noite...],[... Il y a un doute qui ne me laisse pas fermer l'oeil la nuit...]
5_8_4,[¿Crees que es posible que el poder que proviene de los Toziuha puede ser heredado?],[Do you think it's possible that the power that comes from the Toziuha can be inherited?],[Você acredita ser possível que o poder vindo dos Toziuha possa ser herdado?],[Penses-tu qu'il est possible que la puissance venant d'un Toziuha puisse être héritée?]
5_8_5,"[Creo que he cometido el peor error de mi vida, amigo, yo...]","[I think I have made the worst mistake of my life, friend, I...]","[Creio ter cometido o pior erro de toda a minha vida, meu amigo, eu...]","[Je crois que j'ai fait la plus grande erreur de ma vie, mon ami, Je...]"
5_8_6,"(Al parecer la carta no terminó de escribirse, así que no hay nada más que leer.)","(Apparently the letter didn't finish being written, so there's nothing more to read.)","(Parece que a carta não foi terminada, então não há mais nada para ser lido.)","(Apparement la lettre n'a pas fini d'être écrite, il n'y a plus rien à lire.)"
5_8_7,(Uhm... Desde esa ventana se puede ver a los empalados que están al frente del castillo.),(Uhm... From that window I can see the impaled people at the front of the castle.),(Hm... Desta janela é possível ver as pessoas empaladas na frente do castelo.),(Hm... Depuis cette fenêtre je peux voir les gens empalés devant le château.)
5_8_8,(¿Drácula disfrutaba ver a sus víctimas desde aquí?),(Did Dracula enjoy watching his victims from here?),(Drácula gostava de assistir suas vítimas daqui?),(Dracula appréciait-il de regarder ses victimes d'ici?)
6_1_0,"Esto es... rayos, qué asco.","This is... damn, that's disgusting.","Isso é... droga, mas que nojento.",C'est... Nom de Dieu c'est dégoûtant.
6_1_1,Se debió necesitar una absurda cantidad de cuerpos para llenar todo este piso...,It must have taken an absurd amount of bodies to fill this whole floor...,Deve ter sido necessária uma quantidade absurda de corpos para encher todo este piso...,Il aura fallu un nombre absurde de corps pour remplir tout cela...
6_1_2,¿Damian? ¿Qué te ha pasado? Estás todo malherido...,Damian? What happened to you? You're all hurt...,Damian? O que aconteceu com você? Está muito ferido...,Damian? Que t'es-t-il arrivé? Tu es blessé de toutes parts.
6_1_3,"Lo intenté, pero su poder es inmenso...","I tried, but her power is immense...","Eu tentei, mas o poder dela é imenso...","J'ai essayé, mais sa puissance est immense..."
6_1_4,"Damian, maldito traidor, así que trajiste refuerzos...","Damian, you f... traitor, so you brought reinforcements...","Damian, seu maldito traidor, você trouxe reforços...","Damian, maudit traitre, tu as ramené des renforts..."
6_1_5,¿Quién está ahí?,Who's there?,Quem está aí?,Qui va là?
