keys,es,en,pt_BR,zh_CN,fr
STRALSUND_RUINS,Ruinas de Stralsund,Stralsund Ruins,Ruínas de Stralsund,施特拉尔松德遗迹,Ruines de Stralsund
TAHUATEPETL_ISLETS,Isletas de Tahuatepetl,Tahuatepetl Islets,Ilhotas Tahuatepetl,塔瓦特佩特尔群岛,Îlots de Tahuatepetl
ATHOS_ABBEY,Abadía de Athos,Athos Abbey,Abadia de Athos,阿托斯修道院,Abbaye d'Athos
THE_ORDER_HEADQUARTERS,Sede de La Orden,The Order Headquarters ,Sede d’A Ordem,教团总部,Siège de l'Ordre
STORE,Tienda,Store,Loja,商店,Boutique
LIBRARY,Biblioteca,Library ,Biblioteca,图书馆,Bibliothèque
ALCHEMY_LABORATORY,Laboratorio de Alquimia,Alchemy Laboratory,Laboratório de Alquimia,炼金实验室,Laboratoire d'Alchimie
RESTAURANT,Restaurante,Restaurant,Restaurante,餐馆,Restaurant
XANDRIASHOUSE,Casa de Xandria,Xandria's House,Casa da Xandria,珊德莉雅的家,Maison de Xandria
TAHUATEPETL_VOLCANO,Volcán Koapolkan,Koapolkan Volcano,Vulcão Koapolkan,科阿波尔坎火山,Volcan Koapolkan
GRIJAYLA_TOWN,Ciudad de Grijayla,Grijayla Town,Cidade de Grijayla,格里哈伊拉镇,Ville de Grijayla
BIRSTALL_PASS,Ciudad de Birstall,Birstall City,Cidade de Birstall,比尔斯托尔城,Ville de Birstall
ARIDIAH_DESERT,Desierto de Aridiah,Aridiah Desert,Deserto de Aridiah,阿里迪亚沙漠,Désert d'Aridiah
IXQUICTEMPLE,Templo de Ixquic,Ixquic Temple,Templo de Ixquic,伊克斯奎克神殿,Temple d'Ixquic
LOGINPLAYGAMES,Entrar en GooglePlayGames,Login GooglePlayGames,Conectar GoogelPlayGames,登录 Google Play Games,Entrer dans Google Play Games
ABOUT_RESTORE_PLAYGAMES,Utilizando su cuenta de Google PlayGames podrá restaurar partidas que se respaldaron automáticamente al guardar.,"Using your Google PlayGames account, you will be able to restore games that were automatically backed up when saving.","Usando sua conta Google PlayGames, você será capaz de recuperar partidas que foram automaticamente recuperadas ao salvar.",使用你的 Google Play Games 账号，可以恢复保存时自动备份的游戏数据。,"En utilisant votre compte Google Play Games, vous pourrez restaurer les parties qui ont été automatiquement sauvegardées lors de la sauvegarde."
RESTORE_DATA,Restaurar datos,Restore data,Recuperar dados,恢复数据,Restaurer les données
SELECT_GAMESAVE_TO_RESTORE,Seleccione partida a restaurar,Select savegame to restore,Selecionar partida para recuperar,选择要恢复的存档,Sélectionner la partie à restaurer
ARESURETORESTOREDATA,¿Está seguro de restaurar los datos de juego en el slot seleccionado?,Are you sure you want to restore game data to the selected slot?,Tem certeza de recuperar os dados do jogo na vaga selecionada?,确定要将游戏数据恢复到所选存档位吗？,Êtes-vous sûr de vouloir restaurer les données de jeu dans l'emplacement sélectionné ?
RESTORING_DATA,Restaurando datos...,Restoring data...,Recuperando dados…,正在恢复数据...,Restauration des données...
DATA_RESTORED,Los datos han sido restaurados.,Data has been restored.,Dados recuperados.,数据已恢复。,Les données ont été restaurées.
SAVEDATABACKED,Datos respaldados,Backed up data,Dados reserva,已备份数据,Données sauvegardées
RESTORE,Restaurar,Restore,Restaurar,恢复,Restaurer
GETFULLGAME,Juego completo,Get full game,Consiga o jogo completo,获取完整版,Jeu terminé
DEFEATED,Derrotado,Defeated,Derrotado,已击败,Vaincu
PROLOGUE,Prólogo,Prologue,Prólogo,序章,Prologue
SHOW_ENEMYNAMEDEFEATED,Ver nombre de enemigo derrotado,Show defeated enemy name,Mostrar o nome do inimigo derrotado,显示已击败敌人的名称,Voir le nom de l'ennemi vaincu
JUMPLAYERFLOATY,Salto en ataque flotante,Floating attack jump,Salto em ataque flutuante,浮空攻击跳跃,Saut en attaque flottante
SHOWINFOENEMY,Mostrar salud/atributos enemigo,Show enemy health/attributes,Mostrar a saúde/atributos do inimigo,显示敌人生命/属性,Afficher la santé/les attributs de l'ennemi
ABOUTENEMYINFOREALTIME,"Al atacar a un enemigo previamente derrotado, se mostrará su salud y atributos elementales.","When attacking a previously defeated enemy, its health and elemental attributes will be displayed.","Ao atacar um inimigo previamente derrotado, mostrará sua saúde e atributos elementais.",攻击曾击败过的敌人时，将显示其生命值和元素属性。,"En attaquant un ennemi précédemment vaincu, sa santé et ses attributs élémentaires seront affichés."
QTYNOW,Disponible,Available,Disponível,可用,Disponible
TRANSMUTATION,Transmutación,Transmutation,Transmutação,炼成,Transmutation
TRANSMUTE,Transmutar ahora,Transmute now,Transmutar agora,立即炼成,Transmuter maintenant
QTY,Cantidad,Quantity,Quantidade,数量,Quantité
OBJXTRANSMUTEDSUCCESS,¡[%s x%d] transmutado.,[%s x%d] transmuted.,[%s x%d] transmutado.,已炼成 [%s x%d]。,[%s x%d] a été transmuté.
QTY_INSUF,Cantidad insuficiente,Insufficient quantity,Quantidade insuficiente,数量不足,Quantité insuffisante
ANOBJTOACTIVMECHANISM,Un objeto para activar este mecanismo de engranajes...,An object to activate this gear mechanism...,Um objeto para ativar este mecanismo de engrenagens...,需要某个物品来启动这个齿轮机关...,Un objet pour activer ce mécanisme d'engrenages...
GIVEOBJECT,Entregar objeto,Deliver item,Entregar item,交付物品,Livrer l'objet
RESTAURANTAMERITHIAHAVESTOCK,El restaurante en Amerithia tiene [color=yellow]comida disponible[/color] a la venta.,The restaurant at Amerithia has [color=yellow]food available[/color] for purchase.,O restaurante em Amerithia tem [color=yellow]comida disponível[/color] à venda.,阿美瑞西亚的餐馆现有 [color=yellow]食物可供购买[/color]。,Le restaurant à Amerithia a [color=yellow]de la nourriture disponible[/color] à vendre.
EXPANDSCR,Expandir pantalla,Expand screen,Expandir tela,扩展画面,Étendre l'écran
OFFICIALART,Arte oficial,Official art,Arte oficial,官方艺术图,Art officiel
FANARTS,Arte de fans,Fan arts,Artes de fãs,同人作品,Fan arts
CIRCUITREQUIRED,Circuito E. requerido,Required E. Circuit,Circuito Elemental necessário,所需元素回路,Circuit Élémentaire requis
IMPROVECIRCUIT,Mejorar circuito,Improve circuit,Aprimorar circuito,强化回路,Améliorer le circuit
PRELOADROOM,Pre-carga habitación (experimental),Pre-load room (experimental),Sala de Pré-carregamento (experimental),房间预加载（实验性）,Préchargement de la pièce (expérimental)
REVIVE,Revivir,Revive,Reviver,复活,Ressusciter
NOTAVAILABLE,No disponible,Not available,Não disponível ,不可用,Non disponible
STATS,Estadísticas,Stats,Estatísticas,属性,Statistiques
CREATINGCONFINIT,"Creando un nuevo archivo de ajustes, por favor espere...","Creating new settings file, please wait...","Criando Novo Arquivo de configurações, por favor aguarde…",正在创建新的设置文件，请稍候...,"Création d'un nouveau fichier de réglages, veuillez patienter..."
LOWHEALTH_ALERT,Alerta visual de salud baja,Low visual health alert,Alerta de baixa qualidade visual,低生命视觉警报,Alerte visuelle de santé faible
ACH1TITLE,El ataque de los hombres muertos,Attack of the Dead Men,Ataque dos Mortos Vivos,亡者袭来,L'attaque des hommes morts
ACH2TITLE,La bruja del radium,The Radium Witch,A Bruxa de Rádio,镭之魔女,La sorcière du radium
ACH3TITLE,Viaje en el Expreso Oriental,Travel on the Orient Express,Viagem no Expresso do Oriente,东方快车之旅,Voyage dans l'Orient Express
ACH4TITLE,,Oxygenium Adeptis,Adeptis de Oxigênio,氧之 Adeptis,Oxygenium Adeptis
ACH5TITLE,,Crux simplex ad infixionem,Crux simplex ad infixionem ,穿刺刑柱,Crux simplex ad infixionem
ACH6TITLE,Masa crítica,Critical mass,Massa crítica,临界质量,Masse critique
ACH1DESC,Enfrentate por primera vez a la Alquimista de Cloro.,Face the Chlorine Alchemist for the first time.,Enfrente a alquimista de Cloro pela primeira vez.,首次面对氯之炼金术师。,Affronte pour la première fois l'Alchimiste du Chlore.
ACH2DESC,Rescata a la responsable del laboratorio de química.,Rescue the chemistry lab manager.,Resgate a responsável pelo laboratório de química.,救出化学实验室管理员。,Sauve la responsable du laboratoire de chimie.
ACH3DESC,Protege al tren por encargo de Alessa.,Protect the train on behalf of Alessa.,Proteja o trem em nome de Alessa.,代替娅蕾莎保护列车。,Protège le train sur ordre d'Alessa.
ACH4DESC,Vence al Adeptis controlador del Oxígeno.,Defeat the Oxygen controlling Adeptis.,Derrote o Adeptis controlador de Oxigênio.,击败操纵氧的 Adeptis。,Vaincs l'Adeptis contrôleur de l'Oxygène.
ACH5DESC,Rescata a la hija de Gabriel.,Rescue Gabriel's daughter.,Resgate a filha do Gabriel.,救出加布里埃尔的女儿。,Sauve la fille de Gabriel.
ACH6DESC,Destruye el [arma definitiva] de los Ahuizotes.,Destroy the [ultimate weapon] of the Ahuizotes.,Destrua a [arma definitiva] dos Ahuizotes.,摧毁 Ahuizotes 的 [终极武器]。,Détruis [l'arme ultime] des Ahuizotes.
ACH7TITLE,,Vela del Candil,Vela de Candeia,烛灯之帆,Vela del Candil
ACH7DESC,Entrega la máscara de Ahuizote a Margaret.,Deliver the Ahuizote mask to Margaret.,Entregue a máscara de Ahuizote a Margaret.,将 Ahuizote 面具交给玛格丽特。,Livre la masque des Ahuizotes à Margaret.
ACH8TITLE,,Chrysopoeia ,Crisopeia,点金术,Chrysopoeia 
ACH8DESC,Realiza tu primera transmutación en el laboratorio de Alquimia.,Make your first transmutation in the Alchemy Lab.,Faça a sua primeira transmutação no Laboratório de Alquimia.,在炼金实验室完成第一次炼成。,Réalise ta première transmutation dans le laboratoire d'Alchimie.
ACH9TITLE,Nitrum Adeptis,Nitrum Adeptis,Nitrum Adeptis,硝之 Adeptis,Nitrum Adeptis
ACH9DESC,Derrota al Adeptis controlador del Nitrógeno.,Defeat the Nitrogen controlling Adeptis.,Derrote o Adeptis controlador de Nitrogênio.,击败操纵氮之 Adeptis。,Vaincs l'Adeptis contrôleur de l'Azote.
ACH10TITLE,Hydrogenium Adeptis,Hydrogenium Adeptis,Hydrogenium Adeptis,氢之 Adeptis,Hydrogenium Adeptis
ACH10DESC,Derrota al Adeptis controlador del Hidrógeno.,Defeat the Hydrogen controlling Adeptis.,Derrote o Adeptis controlador de Hidrogênio.,击败操纵氢的 Adeptis。,Vaincs l'Adeptis contrôleur de l'Hydrogène.
ACH11TITLE,Sílex Adeptis,Sílex Adeptis,Adeptis de Sílex,燧之 Adeptis,Silice Adeptis
ACH11DESC,Derrota al Adeptis controlador del Silicio.,Defeat the Silicon controlling Adeptis.,Derrote o Adeptis que controla o Silício.,击败操纵硅的 Adeptis。,Vaincs l'Adeptis contrôleur du Silicium.
ACH12TITLE,Sulphur Adeptis,Sulphur Adeptis,Adeptis de Enxofre,硫之 Adeptis,Soufre Adeptis
ACH12DESC,Derrota al Adeptis controlador del Azufre.,Defeat the Sulfur controlling Adeptis.,Derrote o Adeptis que controla o Enxofre.,击败操纵硫的 Adeptis。,Vaincs l'Adeptis contrôleur du Soufre.
ACH13TITLE,Cazador de demonios,Demon hunter,Caçador de demônios,恶魔猎手,Chasseur de démons
ACH13DESC,Supera la máxima puntuación en [MegaBoom Inferno].,Beat the high score in [MegaBoom Inferno].,Bata a pontuação mias alta em [MegaBoom Inferno].,打破 [MegaBoom Inferno] 的最高分。,Dépasse le score maximum dans [MegaBoom Inferno].
ACH14TITLE,¿Puede correr Doom?,Can it run Doom?,Dá para rodar Doom?,它能运行 Doom 吗？,Peut-il faire tourner Doom ?
ACH14DESC,Haz que ese juego corra en Toziuha Night.,Make that game run in Toziuha Night.,Faça o jogo rodar em Toziuha Night.,让那款游戏在托祖哈之夜里运行起来。,Fais tourner ce jeu dans Toziuha Night.
ACH15TITLE,Chlorium Adeptis,Chlorium Adeptis,Chlorium Adeptis,氯之 Adeptis,Chlorium Adeptis
ACH15DESC,Derrota al Adeptis controlador del Cloro.,Defeat the Chlorine controlling Adeptis.,Derrote o Adeptis controlador de Cloro.,击败操纵氯的 Adeptis。,Vaincs l'Adeptis contrôleur du Chlore.
ACH16TITLE,Ferrum Adeptis,Ferrum Adeptis,Ferrum Adeptis,铁之 Adeptis,Ferrum Adeptis
ACH16DESC,Derrota al Adeptis controlador del Hierro.,Defeat the Iron controlling Adeptis.,Derrote o Adeptis controlador de Ferro.,击败操纵铁的 Adeptis。,Vaincs l'Adeptis contrôleur du Fer.
ACH17TITLE,¡He venido a verte aniquilado!,I´ve come to see you annihilated!,Vim para ver você aniquilado!,我是来见证你毁灭的！,Je suis venu voir ton anéantissement !
ACH17DESC,Abre la puerta que conduce al lugar más alto de la Abadía.,Open the door that leads to the highest point of the Abbey.,Abra a porta que leva ao ponto mais alto da Abadia.,打开通往修道院最高处的大门。,Ouvre la porte qui mène au lieu le plus élevé de l'Abbaye.
ACH18TITLE,El fin de la melancolía,The end of melancholy,O fim da melancolia,忧郁的终焉,La fin de la mélancolie
ACH18DESC,Alcanza el final malo.,Reach the bad ending.,Alcança o final ruim,达成坏结局。,Atteins la mauvaise fin.
ACH19TITLE,Marimba Hero,Marimba Hero,Herói da Marimba,马林巴英雄,Marimba Hero
ACH19DESC,Toca todas las notas de la partitura.,Play all the notes in the score.,Toque todas as notas da partitura,演奏谱面上的全部音符。,Joue toutes les notes de la partition.
ACH20TITLE,El fin de la venganza,The end of revenge,O fim da vingança,复仇的终焉,La fin de la vengeance
ACH20DESC,Alcanza el final trágico.,Reach the tragic ending.,Consiga o fim trágico.,达成悲剧结局。,Atteins la fin tragique.
ACH21TITLE,Canción de cuna,Lullaby,Canção de ninar,摇篮曲,Berceuse
ACH21DESC,Haz que cierta Alquimista consiga el sueño eterno.,Make a certain Alchemist achieve eternal sleep.,Faça com que uma certa Alquimista alcance o sono eterno.,让某位炼金术师陷入永恒沉眠。,Fais en sorte qu'une certaine Alchimiste obtienne le sommeil éternel.
ACH22TITLE,El fin de la Alquimista,The end of the Alchemist,O fim da Alquimista,炼金术师的终焉,La fin de l'Alchimiste
ACH22DESC,Alcanza el final bueno.,Reach the good ending.,Alcance o final bom.,达成好结局。,Atteins la bonne fin.
ACH23TITLE,El fin del viaje,The end of the journey,O fim da jornada,旅途的终焉,La fin du voyage
ACH23DESC,Alcanza el final secreto.,Reach the secret ending.,Alcance o final secreto.,达成隐藏结局。,Atteins la fin secrète.
ACH24TITLE,Cartografo,Cartographer,Cartógrafa,制图师,Cartographe
ACH24DESC,Completa el 100% del mapa.,Complete 100% of the map.,Complete 100% do mapa.,完成 100% 地图探索。,Complète 100 % de la carte.
ACH25TITLE,Asesino de demonios,Demon Slayer,Matador de Demônios,恶魔杀手,Tueur de démons
ACH25DESC,Completa el juego en modo díficil al derrotar a Johannes.,Complete the game in hard mode by defeating Johannes.,Complete o jogo no modo difícil derrotando Johannes.,在困难模式下击败约翰内斯并通关。,Termine le jeu en mode difficile en battant Johannes.
ACH26TITLE,Titanium Adeptis,Titanium Adeptis,Adeptis de Titânio,钛之 Adeptis,Titanium Adeptis
ACH26DESC,Derrota al alquimista de Titanio.,Defeat the Titanium Alchemist.,Derrote o Alquimista de Titânio.,击败钛之炼金术师。,Vaincs l'alchimiste de Titane.
ACH27TITLE,Señor del Xibalbá,Lord of Xibalbá,Senhor de Xibalbá,西巴尔巴之主,Seigneur du Xibalbá
ACH27DESC,Derrota a Ahalcaná.,Defeat Ahalcaná.,Derrote Ahalcaná.,击败阿尔卡那。,Vaincs Ahalcaná.
ACH28TITLE,Sin piedad,No mercy,Sem misericórdia,毫不留情,Sans pitié
ACH28DESC,Consigue todos los tesoros de jefes por derrotarlos sin recibir daño.,Obtain all boss treasures by defeating them without taking damage.,Obtenha todos os tesouros dos chefes derrotando-os sem sofrer dano.,以无伤方式击败首领并取得全部首领宝物。,Obtiens tous les trésors des boss en les battant sans subir de dégâts.
ACH29TITLE,Exterminio,Extermination,Extermínio,灭绝,Extermination
ACH29DESC,Derrota a todos los enemigos.,Defeat all enemies.,Derrote todos os inimigos.,击败全部敌人。,Vaincs tous les ennemis.
FIREACTION,Disparar,Fire,Disparar,火,Tirer
STRAFEACTION,Mover lateralmente,Strafe,Se mover lateralmente,平移,Bouger latéralement
CLOSEGAME,Cerrar juego,Close game,Fechar o jogo,关闭游戏,Fermer le jeu
DIFFSMOLXANDEATH,Inire Pecunia,Inire Pecunia,Inire Pecunia,献祭金币,Inire Pecunia
DIFFSMOLXANDEATH_DESC,Evita la muerte del personaje reemplazando el daño por gasto de dinero. El efecto seguirá activo aún cuando ya no tengas dinero.,Avoids character death by replacing damage by spending money. The effect will remain active even when you no longer have money.,Evita a morte do personagem ao substituir o dano por dinheiro gasto.,通过花钱抵消伤害来避免角色死亡。即使之后你已没有金钱，该效果仍会保持激活。,Évite la mort du personnage en remplaçant les dégâts par une dépense d'argent. L'effet restera actif même quand tu n'auras plus d'argent.
REMOVE,Remover,Remove,Remover,移除,Retirer
USEJOYSTICKDINAMIC,Posición Palanca dinámica,Dynamic Stick position,Posição dinâmica da alavanca,动态摇杆位置,Position Joystick dynamique
CLOCK_TOWER,Torre de reloj,Clock tower,Torre do relógio,钟楼,Tour de l'horloge
PRESSENTERTOSTART,Presiona [Enter] para comenzar,Press [Enter] to start,Aperte [Enter] para começar,按 [Enter] 开始,Appuie sur [Entrée] pour commencer
NOEXTERNALCONTROLLERS,No se han detectado controles adicionales,External controllers not detected,Controles externos não detectados,未检测到外接手柄,Aucun contrôle supplémentaire détecté
FINALES,Finales,Endings,Finais,结局,Fins
IMPORTANT_TEXT,Texto importante,Relevant text,Texto Relevante,相关文本,Texte important
INTERACT,Interactuar,Interact,Interagir,交互,Interagir
AERIAL_DASH_II,Dash aéreo II,Aerial Dash II,Dash aéreo II,空中冲刺 II,Dash aérien II
SEEFULLLICENSES,Ver otras atribuciones,See other attributions,Ver outras atribuições,查看其他署名,Voir d'autres crédits
ATTRIBUTIONS,Atribuciones,Attributions,Atribuições,署名信息,Crédits
EXPOSETIME,Tiempo de exposición: %.2fs,Exposure time: %.2fs,Tempo de exposição:  %.2fs,曝光时间：%.2f 秒,Temps d'exposition : %.2fs
CAPTUREIMGCANCELED,Captura de imagen cancelada,Image capture canceled,Captura de imagem cancelada,图像捕获已取消,Capture d'image annulée
HOLDRAISEKEY,Mantén para subir un tono,Hold to raise key,Segure para aumentar um tom,按住以升调,Maintenir pour monter d'un ton
HOLDLOWERKEY,Mantén para bajar un tono,Hold to lower key,Segure para diminuir um tom,按住以降调,Maintenir pour baisser d'un ton
LAKEWATCH,Mirador del lago Niquira,Niquira lake viewpoint,Mirante do Lago Niquira,尼基拉湖观景台,Belvédère du lac Niquira
FIREMARGARET,¡¡¡FUEGO!!!,FIRE!!!,DISPARAR!!!,开火！！！,FEU !!!
UNLOCKEDHARDMODE,Se ha desbloqueado el modo difícil y modo Lvl1.,Unlocked Hard mode and Lvl1.,Modo Difícil desbloqueado Lvl1.,已解锁困难模式与 Lv1 模式。,Le mode difficile et le mode Niveau 1 ont été débloqués.
UNLOCKEDWITCH,Se ha desbloqueado el modo Solo-magia.,Unlocked Only-magic mode.,Modo Magia desbloqueado.,已解锁纯魔法模式。,Le mode magie uniquement a été débloqué.
UNLOCKEDATREU,Se ha desbloqueado el modo Atreu.,Unlocked Atreu mode.,Modo Atreu desbloqueado.,已解锁阿特柔模式。,Le mode Atreu a été débloqué.
UNLOCKEDATREU2,Escribe [ATREU] como nombre de partida nueva.,Type [ATREU] as the name of the new savegame.,Digite [ATREU] como nome da nova partida.,新建存档时输入 [ATREU]。,Écris [ATREU] comme nom de nouvelle partie.
UNLOCKEDWITCH2,Escribe [WITCHMODE] como nombre de partida nueva.,Type [WITCHMODE] as the name of the new savegame.,Digite [WITCHMODE] como nome da nova partida.,新建存档时输入 [WITCHMODE]。,Écris [WITCHMODE] comme nom de nouvelle partie.
OTHERSTATUESDESTROYED,Las demás estatuas también serán destruidas.,The other statues will also be destroyed.,As outras estátuas também serão destruídas.,其他雕像也会一并被摧毁。,Les autres statues seront également détruites.
SLIDEHELPSMOLXANDRIA,"↓+Salto : Barrida en el suelo, permite atravesar trampas o enemigos sin recibir daño.","↓+Jump: Ground slide, allows you to pass through traps or enemies without taking damage.","↓+Pulo: Deslize no chão, permite passar por armadilhas ou inimigos sem sofrer dano.",↓+跳跃：地面滑行，可让你穿过陷阱或敌人而不受伤害。,"↓+Saut : Balayage au sol, permet de traverser les pièges ou ennemis sans subir de dégâts."
ACH30TITLE,Nahual Tzikin,Nahual Tzikin,Nahual Tzikin,纳瓦尔·齐金,Nahual Tzikin
ACH30DESC,Completa los tributos a la diosa Ixquic.,Complete the tributes to the goddess Ixquic.,Complete os tributos à deusa Ixquic.,完成献给女神伊克斯奎克的贡品。,Complète les tributs à la déesse Ixquic.
ACH31TITLE,"Hasta la vista, baby","Hasta la vista, baby",,后会有期，宝贝,"Hasta la vista, baby"
ACH31DESC,Derrota al Toziuha usando los poderes de Atreu.,Defeat Toziuha using Atreu's powers.,,用阿特柔的力量击败托祖哈。,Vaincs le Toziuha en utilisant les pouvoirs d'Atreu.
TYPEWITCHMODE,Escribe [WITCHMODE] para jugar solo con magia,Type [WITCHMODE] for only-magic game,,输入 [WITCHMODE] 以游玩纯魔法模式,Écris [WITCHMODE] pour jouer uniquement avec la magie.
TYPEATREUMODE,Escribe [ATREU] para jugar con Atreu,Type [ATREU] for Atreu mode,,输入 [ATREU] 以游玩阿特柔模式,Écris [ATREU] pour jouer avec Atreu.
XANDRIAOUTFITCHANG,Cambiar colores de vestido de Xandria,Change Xandria's color dress,,更换珊德莉雅的服装配色,Changer les couleurs de la robe de Xandria.
RELOADING,Recargando,Reloading,,装填中,Recharge en cours
RELOAD,Recarga,Reload,,装填,Recharger
SHOOTREVOLVER,Disparar Revólver (acumula sangre),Fire Revolver (gain blood),,发射左轮（积累鲜血）,Tirer avec le révolver (accumule du sang)
RELOADMANA,Recargar maná,Recharge mana,,补充法力,Recharger le mana
SHOTGUN,Disparar Escopeta (puede destruir Calcita),Fire Shotgun (it can destroy Calcite),,发射霰弹枪（可摧毁方解石）,Ture au pompe (peut détruire la Calcite)
GRENADETHROWER,Lanzagranadas,Grenade Launcher,,榴弹发射器,Lance-grenade
THROWGRENADE,Arroja granadas en el suelo,Throw grenades on the ground,,向地面投掷手雷,Lance des grenades au sol
INVERTGRAVITY,Invierte gravedad con botas ferro-magnéticas,Invert gravity with ferromagnetic boots,,用铁磁靴反转重力,Inversion de gravité à l’aide de bottes ferromagnétiques
WEAPONPLUSMODE,Modo WEAPON+ (barra sangre llena),WEAPON+ Mode (full blood bar),,WEAPON+ 模式（鲜血槽全满）,Mode WEAPON+ (pleine barre de sang)
ABOUTWEAPONPLUS,En el modo WEAPON+ El revólver y la escopeta pasan a una arma mejorada.,"In WEAPON+ Mode, the revolver and shotgun upgrade to enhanced versions.",,在 WEAPON+ 模式下，左轮和霰弹枪会升级为强化武器。,"En mode WEAPON+, le revolver et le pompe sont améliorés"
MOVEMENTS,Movimientos,Movements,,动作,Mouvements
ABOUTCONTRARIUSATREU,Margaret le regaló a Atreu unas botas ferromagneticas para imitar el circuito Contrarius Gravitas de Xandria.,Margaret gave Atreu a pair of ferromagnetic boots to mimic Xandria’s Contrarius Gravitas circuit.,,玛格丽特送给阿特柔一双铁磁靴，用来模仿珊德莉雅的重力反转回路。,Margaret a donné à Atreu une paire de bottes ferromagnétiques afin d’imiter le circuit de Xandria Contrarius Gravitas
ABOUTDOBLEJUMPATREU,"Atreu es capaz de saltar indefinidamente en el aire usando el impulso de escopeta, mientras tenga suficiente estamina.","Atreu can jump indefinitely in the air using the shotgun’s recoil, as long as he has enough stamina.",,只要耐力足够，阿特柔就能借助霰弹枪的后坐力在空中无限跳跃。,"Atreu peut sauter dans les airs indéfiniment en utilisant le recul du pompe, tant qu’il a assez d’endurance"
IN-AIR,(en el aire),(in the air),,(空中),(dans les airs)
IN-FLOOR,(en el suelo),(on the ground),,(地面),(au sol)
ABOUTATREU,"Atreu puede transmutar munición de Plomo para utilizar armas, siempre y cuando tenga suficienta maná.","Atreu can transmute lead ammunition to use weapons, as long as he has enough mana.",,只要法力充足，阿特柔就能将铅转化为弹药来使用武器。,"Atreu peut transmuter des munitions en plomb pour utiliser ses armes, tant qu’il a suffisamment de mana"
