keys,es,en,pt_BR,zh_CN
THERMALRESIS_DESC,"Existen lugares con climas extremos, el cuerpo humano no podrá permanecer mucho tiempo en estos ambientes, al llegar a un límite perderás salud gradualmente, existen consumibles u objetos en el entorno que podrá aliviar la temperatura corporal.","There are places with extreme climates. The human body will not be able to stay in these environments for too long. When you reach your limit, you will gradually lose health. There are consumables or objects in the environment that can alleviate body temperature.","Há locais com climas extremos, o corpo humano não será capaz de ficar por muito tempo nesses ambientes, quando você alcança um limite você gradualmente perderá saúde, há consumíveis ou objetos no ambiente que podem aliviar a temperatura corporal.",有些地方气候极端，人体无法在这种环境中停留太久。一旦超过极限，你的生命就会逐渐流失。你可以通过消耗品，或利用环境中的某些物体，来缓解体温负担。
ABOUTDAMAGEINFLICT_DESC,"Al dañar a un enemigo verás un número aparecer que representa el daño inflingido, puede ser de utilidad ver ese número para determinar si el plan actual es efectivo contra el enemigo.","When damaging an enemy, you will see a number appear that represents the damage inflicted. It may be useful to see that number to determine if the current plan is effective against the enemy.","Quando atacar um inimigo, você verá um número aparecendo que representando o dano infligido, pode ser útil ver o número para determinar se o atual plano é efetivo.",对敌人造成伤害时，画面上会出现一个数字，用来表示你造成的伤害量。观察这个数字，有助于判断当前战术对该敌人是否有效。
RESISTANDWEAKNS_DESC,"Los enemigos pueden ser resistentes, invulnerables o invencibles ante ciertas [propiedades elementales]. Cada aleación de tu arma o circuito elemental puede tener una propiedad elemental.

Las propiedades son: Aqua, Pyro, Frigo, Aeria, Electro, Lux y Tenebris.

Algunos enemigos incluso pueden absorber el daño de una propiedad específica...","Enemies can be resistant, invulnerable or invincible to certain [elemental properties]. Each alloy of your weapon or elemental circuit can have an elemental property.

The properties are: Aqua, Pyro, Frigo, Aeria, Electro, Lux and Tenebris.

Some enemies can even absorb damage from a specific property...","Inimigos podem ser resistentes, invulneráveis ou invencíveis a certas [propriedades elementais]. Cada liga de sua arma ou circuito elemental pode ter uma propriedade elemental.

As propriedades são: Aqua, Pyro, Frigo, Aeria, Electro, Lux and Tenebris.

Alguns inimigos podem até absorver o dano de uma propriedade específica…","敌人可能会对某些 [元素属性] 具有抗性、无敌性，甚至完全免疫。你的武器合金与元素回路都可能附带某种元素属性。

这些属性分别是：水、炎、冰、风、雷、光、暗。

有些敌人甚至还能吸收某一种属性所造成的伤害……"
ABOUTMULTIPLEEQUIP_DESC,"Existe un Circuito elemental que te permitirá cambiar sets de Aleación+Circuito, con esta habilidad podrás cambiar en tiempo real entre tres diferentes conjuntos de aleaciones y circuitos equipados, de esta manera podrás usar el arma adecuada con el enemigo adecuado.","There is an Elemental Circuit that will allow you to switch Alloy+Circuit sets. With this ability, you can switch in real time between three different sets of alloys and equipped circuits. This way, you can use the right weapon with the right enemy.","Tem um Circuito Elemental que te permite trocar os conjuntos Liga+Circuito, com essa habilidade você pode trocar em tempo real entre trê diferentes conjuntos de ligas e circuitos equipados, desta forma você pode usar a arma certa no inimigo certo.",有一种元素回路能让你切换“合金+回路”套装。掌握这项能力后，你就能实时在三套不同的合金与装备回路之间切换。这样一来，你就能对不同敌人使用最合适的武器。
SHEAL_TITLE,,Sheal Avicena,Sheal Avicena,希尔·阿维森纳
SHEAL_DESC,"Sheal Avicena, alquimista de Nitrogeno. Un Adeptis que al ver sus planes frustrados, no hace más que escapar. Se ha refugiado en lo alto de una montaña ubicado en Eztilia.","Sheal Avicenna, alchemist of Nitrogen. An Adeptis who, seeing his plans thwarted, does nothing but escape. He has taken refuge on the top of a mountain located in Eztilia.","Sheal Avicenna, alquimista de Nitrogênio. Um Adeptis que, ao ver seus planos ir por água abaixo, faz nada além de fugir. Ele buscou refúgio no topo de uma montanha localizada em Eztilia.",希尔·阿维森纳，氮之炼金术师。一名在计划受挫后只知不断逃亡的 Adeptis。如今他躲藏在埃兹提利亚一座山峰的顶端。
FIVEBIRDS_TITLE,Dioses alados,Winged Gods,Deuses Alados,有翼诸神
FIVEBIRDS_DESC,"En un acto de sacrificio los cinco dioses reencarnaron en aves, para vigilar y proteger a sus pueblos desde los cielos...

Anidando allí, donde el ahuacatl crece, sus plumas brillan como esmeraldas, ocultas en lo alto de un bosque neblinoso, el canto de [Ixchel] resuena durante las primeras luces del alba.

[Ek Chuah] y [Chaac] mueven en péndulo largas plumas turquesas cerca de Koapolkán. A [Chaac] le gusta estar cerca de ríos y la comida hecha de maíz. Por el otro lado [Ek Chuah] no sale de su escondite, a menos que una mariposa esté cerca cuando cae la [noche].

Sigue el camino del viento después de una gran lluvia y ahí aparecerá [Hurakán]. Mientras que [Itzamná] prefiere cuidar de sus hijos en zonas ocultas y húmedas. ","In an act of sacrifice, the five gods reincarnated as birds to watch over and protect their people from the skies....

Nesting there, where the ahuacatl grows, their feathers shining like emeralds, hidden high in a misty forest, the song of [Ixchel] resounds during the first light of dawn.

[Ek Chuah] and [Chaac] swing long turquoise feathers like a pendulum near Koapolkán. [Chaac] likes to be near rivers and food made of corn. On the other side, [Ek Chuah] doesn't come out of his hiding place unless a butterfly is nearby when [night] falls.

You must follow the path of the wind after a heavy rain, and there [Hurakán] will appear. While [Itzamná] prefers to take care of her children in hidden, humid areas.","Num ato de sacrifício, os cinco deuses reincarnaram como pássaros para observar e proteger seu povo dos céus.…

Ao criar o ninho, onde ahuacatl cresce, suas penas brilham como esmeraldas nas profundezas de uma floresta anevoada, a canção de [Ixchel] resoa durante a primeira luz do amanhecer.

[Ek Chuah] e [Chaac] se movimentam em pêndulo as longas penas cor de turquesa próximas ao vulcão Koapolkán. [Chaac] gosta de estar próximo de rios e alimentos feitos de milho. Por outro lado, [Ek Chuah] não sai do seu esconderijo, a menos que haja uma borboleta por perto quando a [noite] cai.

Você deve seguir o caminho do vento após uma chuva forte e [Hurakán] aparecerá. Enquanto [Itzamná] prefere cuidar de suas crias em áreas escondidas e úmidas.","出于牺牲之举，五位神祇转生为鸟，自天空中守望并庇护他们的子民……

它们在牛油果树生长之地筑巢，羽毛如翡翠般闪耀，隐没于迷雾森林的高处；黎明的第一道微光中，便会响起 [伊什切尔] 的歌声。

[埃克·丘阿] 与 [查克] 会在科阿波尔坎附近摆动长长的绿松石色尾羽，宛如钟摆。[查克] 喜欢靠近河流，也偏爱玉米制成的食物。另一边，[埃克·丘阿] 除非在 [夜晚] 降临时有蝴蝶靠近，否则绝不会离开自己的藏身处。

而在一场大雨之后，你必须追随风的轨迹，届时 [胡拉坎] 才会现身。至于 [伊察姆纳]，她更喜欢在潮湿而隐蔽的地方照看自己的孩子。"
NEUMANDIARY_TITLE,Diario de Jean Neumann,Jean Neumann's Diary,Diário de Jean Neumann,让·诺伊曼的日记
NEUMANDIARY_DESC,"En el diario del Doctor Neumann se encuentra una explicación sobre las diferentes etapas para la creación del Opus Magnum.

En resumen Johannes planea utilizar un dispositivo de destrucción masiva, conocido como Núcleo del demonio.

También debe contar con el alquimista controlador de sangre para utilizar las vidas sacrificadas finalizando con un poder que permite a un alquimista controlar otro elemento.

Hay más información que está siendo analizada por la directora Alessa y Margaret.","In Dr. Neumann's diary, there is an explanation of the different stages for the creation of the Opus Magnum.

In short, Johannes plans to use a device of mass destruction known as the Demon Core.

He must also rely on the blood controlling alchemist to use the sacrificed lives ending with a power that allows an alchemist to control another element.

There is more information being analyzed by Director Alessa and Margaret.","No diário de Dr. Neumann há uma explicação dos diferentes estágios da criação da Opus Magnum.

Em resumo, Johannes planeja usar um dispositivo de destruição em massa, conhecido como o Núcleo Demoníaco.

Ele também deve contar com um alquimista controlador de sangue para usar as vidas sacrificadas, finalizando com um poder que permita um alquimista controlar outro elemento.

Há mais informação sendo analisada pela Diretora Alessa e Margaret.","在诺伊曼博士的日记中，记载了创造至高杰作各个阶段的说明。

简而言之，约翰内斯打算使用一种被称作“恶魔核心”的大规模毁灭装置。

他还必须借助那位能够操控鲜血的炼金术师，利用被献祭者的生命，最终获得一种能让炼金术师操控另一种元素的力量。

更多情报目前仍由娅蕾莎主任与玛格丽特负责分析。"
ELISIAADEPTIS_TITLE,Elisia Boyle,Elisia Boyle,Elisia Boyle,艾莉西亚·博伊尔
ELISIAADEPTIS_DESC,Elisia Boyle es una de los Adeptis. En el pasado ella era también huerfana y vivía en el mismo orfanato que Xandria.,"Elisia Boyle is one of the Adeptis. In the past, she was also an orphan and lived in the same orphanage as Xandria.","Elisia Boyle é uma integrante dos Adeptis. No passado, ela foi uma órfã que viveu no mesmo orfanato onde Xandria vivia.",艾莉西亚·博伊尔是 Adeptis 之一。过去她同样是一名孤儿，也曾住在和珊德莉雅相同的那所孤儿院里。
NANALETTER_TITLE,Carta de Nana,Nana's Letter,Carta da Nana,娜娜的信
NANALETTER_DESC,"Era una dulce niña, en un mundo de muerte y aflicción. Sus ojos carmesíes brillaban tiernamente como una flor, aunque su cabello parecía estar hecho de noche y de dolor.

Llevando aquella flor que nunca se marchita, la dulce niña hará que el corazón de su hermano se agite, pues será la luz blanca que dará el último adiós al alma que ya se quebranta.","She was a sweet girl, in a world of grief and pain.
Her crimson eyes shone softly, like a flower in the rain,
Though her hair seemed woven from the night and sorrow's reign.

Carrying that flower which never fades,
The sweet girl will stir her brother’s heart,
For it will be the white light that bids farewell,
To the soul that's torn apart.","Ela era uma garota doce, num mundo de dor e tristeza.
Os olhos carmesim dela brilhavam suavemente, como uma flor na chuva,
Embora seu cabelo parecesse tecido pelo reinado da noite e da tristeza.

Carregando aquela flor que nunca murcha,
A doce menina comoverá o coração de seu irmão,
Pois será a luz branca que dirá adeus,
À alma dilacerada.","她曾是个甜美的女孩，活在悲伤与痛苦的世界里。
她那绯红的眼眸柔和闪耀，如同雨中的花朵。
她的发丝仿佛由长夜与哀愁编织而成。

怀抱那朵永不凋零的花，
那个甜美的女孩将唤起她兄长的心，
因为那会是送别的白光，
照向那被撕裂的灵魂。"
ABOUTDIRIAN_TITLE,Cacique Dirián Razhes,Cacique Dirián Razhes,Cacique Dirián Razhes,酋长迪里安·拉杰斯
ABOUTDIRIAN_DESC,"Dirián Razhes es el Cacique del pueblo que habita los islotes en el mar de Niquira. 

Él tiene la responsabilidad de proteger un poder que se creía una leyenda que permite a un Alquimista, dominar otros elementos de la misma familia o período, en otras palabras, un elemento de la misma columna o fila correspondiente a la tabla periódica.

Por ejemplo, un Alquimista de Hierro podría controlar el Cobre o un elemento radioactivo como el Plutonio.

Un poder así es demasiado peligroso, teniendo en cuenta que Dirián se ha aliado con Johannes.
","Dirián Razhes is the Cacique of the people who inhabit the islets in the Niquira Sea. 

He has the responsibility to protect a power that was believed to be a legend that allows an Alchemist to dominate other elements of the same family or period. In other words, an element of the same column or row corresponding to the periodic table.

For example, an Iron Alchemist could control Copper or a radioactive element such as Plutonium.

Such a power is too dangerous, considering that Dirián has allied himself with Johannes.","Dirian Razhes é o Cacique do povo que habita as ilhotas do Mar Niquira. 

Ele tem a resposabilidade de proteger um poder que se acreditava ser uma lenda, permitindo que um Alquimista dominasse outros elementos da mesma família ou período, ou seja, um elemento da mesma coluna ou linha correspondente à tabela periódica.

Por exemplo, um Alquimista de Ferro poderia controlar o Cobre ou um elemento radioativo como o Plutônio.

Tal poder é muito perigoso, considerando que Dirian se aliou com Johannes.","迪里安·拉杰斯是居住在尼基拉海群岛上的部族酋长。

他肩负着守护一股曾被视作传说之力的职责。这股力量能让炼金术师支配与自身元素属于同一族、同一周期的其他元素。也就是说，能够操控元素周期表中同一列或同一行的元素。

例如，铁之炼金术师可以操控铜，或是钚这样的放射性元素。

考虑到迪里安已经与约翰内斯结盟，这种力量实在过于危险。"
ABOUTIXQUICCIRCUIT_TITLE,La bendición de Ixquic,The Ixquic blessing,A Bênção de Ixquic,伊克斯奎克的赐福
ABOUTIXQUICCIRCUIT_DESC,"El legendario poder que protegía Dirián Razhes resultó ser un circuito elemental. 

Johannes ha logrado adueñarse de un poder que permite a Alquimistas controlar otro elementos con la restricción de ser del mismo período o familia del elemento dominante.

Pero al ser un Circuito elemental, cabe la posibilidad de mejorarlo y eliminar esta restricción...

Al final, este circuito mejorado sería lo que Alquimistas llaman el [Opus Magnum.]","The legendary power that protected Dirián Razhes turned out to be an elemental circuit. 

Johannes has managed to take possession of a power that allows Alchemists to control other elements with the restriction of being of the same period or family of the dominant element.

But being an elemental circuit, it is possible to improve it and eliminate this restriction...

In the end, this improved circuit would be what Alchemists call the [Opus Magnum].","O poder lendário que protegia Dirian Razhes revelou-se um circuito elemental.

Johannes conseguiu tomar posse de um poder que permite aos Alquimistas controlar outros elementos com a restrição de serem do mesmo período ou família do elemento dominante.

Mas, sendo um circuito elemental, é possível aprimorá-lo e eleiminar essa restrição...

No fim, esse circuito aprimorado seria o que os Alquimistas chamam de [Opus Magnum.]","守护迪里安·拉杰斯的那股传说之力，结果被证实其实是一种元素回路。

约翰内斯已经设法夺取了这种力量，使炼金术师得以操控其他元素，但仍受限于那些元素必须与主导元素同属一个周期或同一家族。

但既然它本质上是元素回路，就有可能被进一步改良，从而消除这一限制……

而这种被改良后的回路，最终便会成为炼金术师口中的 [至高杰作]。"
EVALETTER_TITLE,Informe de Eva Brahm,Eva Brahm's Report,Relatório de Eva Brahm,伊娃·布拉姆的报告
EVALETTER_DESC,"Mi señor, tal como me lo ha ordenado estoy en Birstall, resguardando la moneda que bloquea el paso a los pisos superiores de la Abadía de Athos.

La otra moneda la dejé con los hermanos Cavendish, quienes han logrado sincronizar sus ondas de manipulación elemental. Juntos, ellos no dejarán que esa intrometida Alquimista pase más allá de la torre de reloj abandonada de Stralsund. Si algo falla, el Toziuha Ahalcaná estará al pendiente para realizar el pacto.

Y por último, con los documentos dejados por Sheal, hemos conseguido una versión más potente de la sangre de athos, los Ahuizotes que la consumen experimentan un mayor poder y agresividad, se encuentran protegiendo la Abadía, no dejaremos que esa Alquimista ni La Orden interfiera en sus planes divinos.

-- Eva Brahm.","My lord, as you commanded, I am in Birstall, guarding the coin that blocks access to the upper floors of Athos Abbey.

I left the other coin with the Cavendish brothers, who have managed to synchronize their elemental manipulation waves. Together, they will not let that meddlesome Alchemist to pass beyond the abandoned clock tower of Stralsund. If something goes wrong, the Toziuha Ahalcaná will be on hand to carry out the pact.

And finally, with the documents left by Sheal, we have obtained a more powerful version of the blood of Athos. The Ahuizotes who consume it experience greater power and aggression. They are protecting the Abbey. We will not let that Alchemist or the Order interfere with your divine plans.

-- Eva Brahm.","Meu Senhor, como me ordenastes, estou em Birstall, protegendo metade do amuleto que bloqueia a passagem para os andares superiores da Abadia de Athos.

A outra metade permanece sob a custódia dos Irmãos Cavendish, que conseguiram sincronizar suas ondas de manipulação. Juntos, não deixarão aquela Alquimista intrometida passar além da torre do relógio abandonada de Stralsund. Se algo der errado, Toziuha Ahalcaná estará à disposição para executar o pacto.

E, finalmente, com os documentos deixados por Sheal, obtivemos uma versão mais poderosa do sangue de Athos, os Ahuizotes que o consomem experimentam maior poder e agressividade. Eles estão protegendo a Abadia, não deixaremos aquela Alquimista nem A Ordem interferirem em seus planos divinos.

-- Eva Brahm.","吾主，如您所命，我如今身在比尔斯托尔，守卫着那枚阻挡外人进入阿托斯修道院上层的硬币。

另一枚硬币我已交给卡文迪许兄弟。他们已经能够同步各自的元素操控波动。两人联手，绝不会让那个多管闲事的炼金术师越过斯特拉尔松德废弃钟楼。若事情有变，托祖哈·阿哈尔卡纳将会出手完成契约。

最后，借由希尔留下的文献，我们得到了更为强大的阿托斯之血版本。服用它的 Ahuizotes 会变得更加强大，也更加狂暴。如今他们正在守护修道院。我们绝不会让那个炼金术师或教团干扰您神圣的计划。

——伊娃·布拉姆"
EVANEWS2_TITLE,Noticia sobre desaparición,News about disappearance,Notícias sobre desaparecimento,失踪新闻
EVANEWS2_DESC,La ciudad de Birstall se sume en misterio tras la desconcertante desaparición de la actriz de teatro Evangelina Graham. Tras el brutal ataque que sufrió hace una semana...,The city of Birstall is shrouded in mystery following the baffling disappearance of theater actress Evangelina Graham. After the brutal attack she suffered a week ago...,"A cidade de Birstall está envolvida em mistério, seguido pelo desconcertante desaparecimento da atriz de teatro Evangelina Graham. Após o ataque brutal que ela sofreu a uma semana atrás…",剧院女演员伊万杰琳娜·格雷厄姆离奇失踪，令比尔斯托尔全城陷入迷雾。一周前，她才刚遭受那场残忍袭击……
EVANEWS1_TITLE,Noticia [ataque a actriz],News [attack on actress],Notícias [atentado à atriz],新闻［女演员遇袭］
EVANEWS1_DESC,"La Gaceta Nocturna – Edición Especial

¡Tragedia en el Escenario! La Musa del teatro, Evangelina Graham, víctima de un brutal ataque.

Birstall se halla conmocionada por el brutal ataque a Evangelina, la estrella fugaz del Teatro de la Fortuna. Evangelina ascendió rápidamente, cautivando a miles con su deslumbrante belleza y talento. Se convirtió en la joya del entretenimiento, deseada por numerosos admiradores de todas las clases sociales. Sin embargo, su éxito atrajo una sombra: un insistente y acaudalado noble quien no aceptaba sus reiterados rechazos.

La tragedia ocurrió anoche, cuando, tras una función triunfal, Evangelina fue atacada al salir del teatro. Un chorro de ácido corrosivo impactó su rostro, causándole graves heridas. Los escenarios del Teatro de la Fortuna permanecen a oscuras, mientras el estado de salud de Evangelina, aún crítico, mantiene a todos en vilo...","The Night Gazette – Special Edition

Tragedy on Stage! Theater muse Evangelina Graham victim of brutal attack.

Birstall is in shock over the brutal attack on Evangelina, the shooting star of the Theater of Fortune. Evangelina rose quickly, captivating thousands with her dazzling beauty and talent. She became the jewel of entertainment, desired by numerous admirers from all walks of life. However, her success attracted a shadow: a persistent and wealthy nobleman who would not accept her repeated rejections.

The tragedy occurred last night when, after a triumphant performance, Evangelina was attacked as she left the theater. A stream of corrosive acid struck her face, causing serious injuries. The stages of the Theater of Fortune remain dark, while Evangelina's condition, still critical, keeps everyone on edge...","A Gazeta Noturna – Edição Especial

Tragédia no Palco! Musa Evangelina Graham é vítima de um ataque brutal.

Birstall está em choque com o ataque brutal a Evangelina, a estrela do Teatro da Fortuna. Evangelina ascendeu rapidamente, cativando milhares com sua beleza e talento deslumbrantes. Tornou-se a jóia do entretenimento, desejada por inúmeros admiradores de todas as esferas da vida. No entanto, seu sucesso atraiu uma sombra: um nobre persistente e rico que não aceitava suas repetidas rejeições.

A tragédia ocorreu ontem à noite quando, após uma apresentação triunfal, Evangelina foi atacada ao sair do teatro. Um jato de ácido corrosivo atingiu seu rosto, causando ferimentos graves. Os palcos do Teatro da Fortuna permanecem às escuras, enquanto o estado de Evangelina, ainda crítico, mantém todos em alerta...","夜间公报 特别版

舞台惨剧！剧院缪斯伊万杰琳娜·格雷厄姆惨遭残忍袭击。

比尔斯托尔因伊万杰琳娜遭受的残忍攻击而震惊不已。这位“命运剧院”的耀眼新星，曾凭借惊人的美貌与才华迅速崛起，迷倒了成千上万的观众。她成为娱乐界的明珠，吸引了无数来自各阶层的仰慕者。然而，她的成功也招来了一道阴影：一位执拗而富有的贵族，不愿接受她一次又一次的拒绝。

惨剧发生在昨夜。伊万杰琳娜在一次大获成功的演出后离开剧院时，遭到袭击。一股腐蚀性酸液泼向她的脸部，造成严重伤害。如今“命运剧院”的舞台已然熄灯，而伊万杰琳娜仍处于危险之中，牵动着所有人的神经……"
XOCHILTLETTER_TITLE,Carta de Xóchitl,Xóchitl's letter,Carta de Xóchitl,索奇特尔的信
XOCHILTLETTER_DESC,"Carta encontrada dentro de un contenedor ignífugo que dice lo siguiente:

En estos dos años como infiltrada en la secta de los Ahuizotes finalmente hice avances reuniendo información.

Su líder proclama que los guiará hacia el ""milagro"" de la resurrección gracias al [Opus Magnum].

Solo los Adeptis están al tanto sobre cómo crearán el Opus Magnum.

Sin embargo, se sabe que consta de cuatro etapas para su transmutación:

1-Rubedo, 2-Albedo, 3-Citrinitas, 4-Nigredo.

Se dice que la primera etapa, Rubedo, fue alcanzada gracias a cierto incidente ocurrido en la región de Transilvania.

La segunda etapa, Albedo, fue completada con la invasión de demonios en Grijayla.

En esta ciudad los Ahuizotes descubrieron un laboratorio secreto de un investigador especializado en óptica llamado Jean Neumann.

Desconozco de qué trata la 3ra y 4ta fase.

Mi último descubrimiento es sobre el lugar donde se oculta Johannes Trithemius.

Hay una puerta enorme en el lugar donde los Ahuizotes se reunen, una abadía antigua ubicada al norte, pasando por Eztilia. 

Esta puerta solo se abre cuando todos los Adeptis se reunen, colocando sus medallones en un orden específico.

Logré escabullirme y ver el orden en el que lo hacían: %s

Espero que esto logre con nuestra misión de erradicar a los Ahuizotes de una vez por todas.

-- Xóchitl Nahoa.","Letter found inside a fireproof container that reads as follows:

In these two years as an infiltrator in the sect of the Ahuizotes, I finally made progress gathering information.

Their leader proclaims that he will guide them to the ""miracle"" of resurrection thanks to the [Opus Magnum].

Only the Adeptis are aware of how they will create the Opus Magnum.

However, it's known that it consists of four stages for its transmutation:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

The first stage, Rubedo, is said to have been achieved thanks to a certain incident in the Transylvania region.

The second stage, Albedo, was completed with the invasion of demons in Grijayla.

In this city, the Ahuizotes discovered the secret laboratory of a researcher specialized in optics named Jean Neumann.

I don't know what the 3rd and 4th phases are about.

My last discovery is about the place where Johannes Trithemius is hiding.

There is a huge door in the place where the Ahuizotes gather, an ancient abbey located to the north, passing through Eztilia. 

This door only opens when all the Adeptis gather, placing their medallions in a specific order.

I managed to sneak in and see the order in which they did it: %s.

I hope this accomplishes our mission to eradicate the Ahuizotes once and for all.

-- Xóchitl Nahoa.","Carta encontrada dentro de um contêiner a prova de fogo, que diz:

Nesses dois anos como um infiltrado na seita dos Ahuizotes, eu finalmente fiz progresso em coletar informação.

O líder deles proclama que os guiará ao “milagre” da ressurreição graças ao [Opus Magnum].

Apenas os Adeptis são cientes de como eles criarão o Opus Magnum.

Porém, é sabido que consiste nos quatro estágios de sua transmutação:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

O primeiro estágio, Rubedo, é dito que foi alcançado graças a um certo evento na região da Transilvânia.

O segundo estágio, Albedo, foi completado com a invasão de demônios em Grijayla.

Nessa cidade, os Ahuizotes descobriram um laboratório secreto de um pesquisador especializado em ótica chamado Jean Neumann.

Eu não sei sobre o que se tratam das fases 3 e 4.

Minha última descoberta é sobre o local onde Johannes Trithemius está se escondendo.

Há uma porta enorme no local onde os Ahuizotes se reúnem, uma antiga abadia localizada ao norte, passando por Eztilia. 

Essa porta apenas abre quando todos os Adeptis se reúnem, colocando seus medalhões numa ordem específica.

Eu consegui me infiltrar e ver a ordem que eles colocaram: %s.

Eu espero que cumpra a nossa missão de erradicar os Ahuizotes de uma vez por todas.

-- Xóchitl Nahoa.","在一个防火容器中发现的信件，内容如下：

我潜入 Ahuizotes 教派的这两年里，终于在搜集情报上有所进展。

他们的首领宣称，自己将凭借 [至高杰作] 引领众人迈向复活的“奇迹”。

只有 Adeptis 知晓他们将如何完成至高杰作。

不过，已知它的嬗变共分为四个阶段：

1-赤化，2-白化，3-黄化，4-黑化。

据说第一阶段“赤化”，是因特兰西瓦尼亚地区发生的某起事件才得以达成。

第二阶段“白化”，则是在格里哈伊拉遭受恶魔入侵时完成的。

Ahuizotes 在这座城市里发现了一位名叫让·诺伊曼、专精光学的研究者所留下的秘密实验室。

至于第三和第四阶段究竟是什么，我还不清楚。

我最后查到的情报，是约翰内斯·特里特米乌斯藏身之处。

在 Ahuizotes 聚集之地，有一扇巨大的门。那是一座位于北方、途经埃兹提利亚后才能抵达的古老修道院。

唯有所有 Adeptis 全数到齐，并依照特定顺序放置各自的徽章，这扇门才会开启。

我设法潜入其中，亲眼看到他们摆放的顺序：%s。

希望这些情报能帮助我们一劳永逸地铲除 Ahuizotes。

——索奇特尔·纳瓦"
ABOUTWITCHATHOS_DESC,"Se cuenta que la Abadía de Athos tiene más de mil años desde que fue construida.

Los Ahuizotes se adueñaron de la abadía, pero ni siquiera ellos conocen todos los secretos que oculta esta edificación.

Según algunos registros historicos se cuenta que existió una Bruja que dio origen a lo que hoy conocemos como [Circuitos Elementales].

Esta bruja fue la que mandó a construir esta abadía. Y su altar se encuentra escondido en algún lugar, varias fuentes señalan que se encuentra ""al oeste de la habitación que gira"".

Desconozco donde podría estar ubicado ya que no he tenido tiempo de explorar la abadía, quizás esa pista signifique algo para ti.

Atentamente, ""D"".","It's said that the Athos Abbey is over a thousand years old since it was built.

The Ahuizotes took over the abbey, but even they don't know all the secrets hidden within this building.

According to some historical records, there was a witch who gave rise to what we now know as [Elemental Circuits].

This witch was the one who ordered the construction of this abbey. And her altar is hidden somewhere; several sources indicate that it is located “west of the room that spins.”

I don't know where it might be located since I haven't had time to explore the abbey, but perhaps that clue means something to you.

Sincerely, ""D.""","Dizem que a Abadia de Athos tem mais de mil anos desde que foi construída.

Os Ahuizotes tomaram conta da abadia, mas não conhecem todos os segredos escondidos dentro do edifício.

De acordo com registros históricos, havia uma bruxa que deu origem ao que hoje conhecemos como [Circuitos Elementais].

Esta bruxa foi quem ordenou a construção desta abadia. E seu altar está escondido em algum lugar; várias fontes indicam que está localizado “a oeste da sala que gira.”

Não sei onde está localizado, já que não tive tempo de explorar a abadia, mas talvez essa pista signifique algo para você.

Sinceramente, ""D.""","据说阿托斯修道院自建成以来，已屹立超过千年。

Ahuizotes 虽然占据了这座修道院，但即便是他们，也不知道这栋建筑中隐藏着的所有秘密。

根据某些历史记载，曾有一位魔女开创了我们今日所知的 [元素回路]。

也正是这位魔女下令建造了这座修道院。她的祭坛被藏在某处；多方资料都指出，它位于“旋转之室西侧”。

我不知道那究竟在什么地方，因为我没有足够时间探索整座修道院。但说不定，这条线索对你有意义。

此致，
“D”"
ABOUTWITCHATHOS_TITLE,La bruja escondida,The hidden witch,A bruxa escondida,隐匿的魔女
ABOUTTOZIUHANIGHT_TITLE,La noche de los Toziuha,The Toziuha night,A noite dos Toziuha,托祖哈之夜
ABOUTTOZIUHANIGHT_DESC,Se le conoce de esta manera al evento ocurrido durante la última semana de octubre. Es el momento cuando los demonios reciben un mayor poder debido a que las puertas del inframundo se abren.,This is the name given to the event that occurs during the last week of October. It is the moment when demons receive greater power because the gates of the underworld open.,Este é o nome dado ao evento que ocorreu na última semana de outubro. É o momento em que os demônios ganham mais poder porque os portões do submundo são abertos.,这是发生在十月最后一周的事件名称。届时冥界之门开启，恶魔会获得更强大的力量。
DIRIANLETTER_TITLE,Carta de Dirián Razhes,Dirián Razhes' letter,Carta de Dirián Razhes,迪里安·拉杰斯的信
